,Date,Open,High,Low,Close,Adj Close,Volume
df_10,2008-02-12,1340.550048828125,1369.22998046875,1338.1300048828125,1349.989990234375,1349.989990234375,15129120000
df_10,2008-02-19,1355.8599853515625,1374.3599853515625,1327.0400390625,1371.800048828125,1371.800048828125,18619740000
df_10,2008-02-26,1371.760009765625,1388.3399658203125,1320.0400390625,1331.3399658203125,1331.3399658203125,20483640000
df_10,2008-03-04,1329.5799560546875,1344.18994140625,1272.6600341796875,1273.3699951171875,1273.3699951171875,22185000000
df_10,2008-03-11,1274.4000244140625,1333.260009765625,1256.97998046875,1276.5999755859375,1276.5999755859375,25433510000
df_10,2008-03-18,1277.1600341796875,1359.6800537109375,1277.1600341796875,1349.8800048828125,1349.8800048828125,21338400000
df_10,2008-03-25,1349.0699462890625,1357.469970703125,1312.81005859375,1322.699951171875,1322.699951171875,20114690000
df_10,2008-04-01,1326.4100341796875,1386.739990234375,1326.4100341796875,1372.5400390625,1372.5400390625,20436540000
df_10,2008-04-08,1370.1600341796875,1370.1600341796875,1326.1600341796875,1328.3199462890625,1328.3199462890625,18134130000
df_10,2008-04-15,1331.719970703125,1395.9000244140625,1324.3499755859375,1388.1700439453125,1388.1700439453125,19198430000
df_10,2008-04-22,1386.4300537109375,1402.9000244140625,1369.8399658203125,1396.3699951171875,1396.3699951171875,19885320000
df_10,2008-04-29,1395.6099853515625,1422.719970703125,1383.0699462890625,1407.489990234375,1407.489990234375,20136110000
df_10,2008-05-06,1405.5999755859375,1421.5699462890625,1384.1099853515625,1403.5799560546875,1403.5799560546875,18716760000
df_10,2008-05-13,1404.4000244140625,1440.239990234375,1396.260009765625,1426.6300048828125,1426.6300048828125,19361000000
df_10,2008-05-20,1424.489990234375,1424.489990234375,1373.719970703125,1375.9300537109375,1375.9300537109375,15844650000
df_10,2008-05-27,1375.969970703125,1406.3199462890625,1373.0699462890625,1385.6700439453125,1385.6700439453125,18970490000
df_10,2008-06-03,1386.4200439453125,1404.050048828125,1350.6199951171875,1361.760009765625,1361.760009765625,22262040000
df_10,2008-06-10,1358.97998046875,1366.8399658203125,1331.2900390625,1360.1400146484375,1360.1400146484375,21936650000
df_10,2008-06-17,1360.7099609375,1366.5899658203125,1314.4599609375,1318.0,1318.0,22698470000
df_10,2008-06-24,1317.22998046875,1335.6300048828125,1272.0,1280.0,1280.0,26002560000
df_10,2008-07-01,1276.68994140625,1292.1700439453125,1240.6800537109375,1252.31005859375,1252.31005859375,19635390000
df_10,2008-07-08,1251.8399658203125,1277.3599853515625,1225.010009765625,1228.300048828125,1228.300048828125,29232600000
df_10,2008-07-15,1226.8299560546875,1267.739990234375,1200.43994140625,1260.0,1260.0,31751400000
df_10,2008-07-22,1257.0799560546875,1291.1700439453125,1234.3699951171875,1234.3699951171875,1234.3699951171875,27969560000
df_10,2008-07-29,1236.3800048828125,1284.9300537109375,1236.3800048828125,1249.010009765625,1249.010009765625,25638770000
df_10,2008-08-05,1254.8699951171875,1313.1500244140625,1254.6700439453125,1305.3199462890625,1305.3199462890625,21446230000
df_10,2008-08-12,1304.7900390625,1304.7900390625,1274.510009765625,1278.5999755859375,1278.5999755859375,21434000000
df_10,2008-08-19,1276.6500244140625,1293.0899658203125,1261.1600341796875,1266.8399658203125,1266.8399658203125,19909050000
df_10,2008-08-26,1267.030029296875,1300.6800537109375,1263.2099609375,1282.8299560546875,1282.8299560546875,14229580000
df_10,2008-09-02,1287.8299560546875,1303.0400390625,1217.22998046875,1267.7900390625,1267.7900390625,27421460000
df_10,2008-09-09,1267.97998046875,1268.6600341796875,1192.699951171875,1192.699951171875,1192.699951171875,35346090000
